"","n_raw_reads","n_mapped_reads","expected_umis","ci_95_low","ci_95_high","dataset"
"215",129999992.478853,94956273.2554255,50927722.6232613,50848584.2878675,51006984.1258233,"leukopak"
"216",139999991.900303,102260601.967381,53450371.7255177,53379444.8860469,53521392.8075676,"leukopak"
"217",149999991.321754,109564930.679337,55871341.7651711,55806923.5512426,55935834.3373695,"leukopak"
"218",159999990.743204,116869259.391293,58198751.4468697,58139351.9853304,58258211.5952916,"leukopak"
"219",169999990.164654,124173588.103249,60439632.5653381,60383970.358636,60495346.0817046,"leukopak"
"220",179999989.586104,131477916.815205,62600159.5137661,62547157.1174548,62653206.8242533,"leukopak"
"221",189999989.007555,138782245.52716,64685870.2959972,64634645.4840845,64737135.7050437,"leukopak"
"222",199999988.429005,146086574.239116,66701846.1398332,66651696.0741932,66752033.9393829,"leukopak"
"223",209999987.850455,153390902.951072,68652458.3453359,68602837.3780262,68702115.2038783,"leukopak"
"224",219999987.271905,160695231.663028,70541829.8679918,70492323.7814016,70591370.7222343,"leukopak"
"225",229999986.693356,167999560.374984,72373581.7978855,72323881.7878247,72423315.9611325,"leukopak"
"226",239999986.114806,175303889.086939,74151031.2856918,74100910.2300859,74201186.2426385,"leukopak"
"227",249999985.536256,182608217.798895,75877246.3868781,75826538.7561161,75927987.927454,"leukopak"
"228",259999984.957706,189912546.510851,77555028.3719418,77503614.1238427,77606476.7271588,"leukopak"
"229",269999984.379157,197216875.222807,79186961.7087308,79134753.8791316,79239203.981572,"leukopak"
"230",279999983.800607,204521203.934763,80775460.4401307,80722395.8534441,80828559.9099539,"leukopak"
"231",289999983.222057,211825532.646718,82322925.6893695,82268958.1497088,82376928.6311478,"leukopak"
"232",299999982.643507,219129861.358674,83830997.3215253,83776092.6995215,83885937.9265574,"leukopak"
"233",309999982.064957,226434190.07063,85301717.2008163,85245849.9277516,85357621.0874194,"leukopak"
"234",319999981.486408,233738518.782586,86737170.7874959,86680321.3751779,86794057.484582,"leukopak"
"235",329999980.907858,241042847.494542,88138128.6947098,88080281.9905385,88196013.3896904,"leukopak"
"236",339999980.329308,248347176.206498,89506853.855959,89447997.8189009,89565748.6197989,"leukopak"
"237",349999979.750759,255651504.918453,90844554.0872158,90784678.9299088,90904468.7339443,"leukopak"
"238",359999979.172209,262955833.630409,92152768.6877362,92091866.2734641,92213711.3781393,"leukopak"
"239",369999978.593659,270260162.342365,93432152.2072154,93370215.6235864,93494129.876113,"leukopak"
"240",379999978.015109,277564491.054321,94684227.9231344,94621251.1765688,94747246.5849206,"leukopak"
"241",389999977.436559,284868819.766277,95910162.472059,95846140.2663469,95974227.4425901,"leukopak"
"242",399999976.85801,292173148.478232,97110841.4746382,97045769.0461751,97175957.5363373,"leukopak"
"243",409999976.27946,299477477.190188,98287297.4985535,98221170.4906914,98353469.0261576,"leukopak"
"244",419999975.70091,306781805.902144,99440444.6468206,99373259.0109822,99507675.7064451,"leukopak"
"245",429999975.12236,314086134.6141,100571385.661677,100503137.577118,100639680.091068,"leukopak"
"246",439999974.543811,321390463.326056,101680485.840445,101611171.647074,101749847.316584,"leukopak"
"247",449999973.965261,328694792.038011,102768690.290109,102698306.429928,102839122.387578,"leukopak"
"248",459999973.386711,335999120.749967,103836793.83647,103765336.802009,103908300.079154,"leukopak"
"249",469999972.808161,343303449.461923,104885469.354405,104812935.641482,104958053.262846,"leukopak"
"250",479999972.229612,350607778.173879,105915529.037179,105841915.101183,105989194.172283,"leukopak"
"251",489999971.651062,357912106.885835,106927288.782284,106852590.996888,107002038.786902,"leukopak"
"252",499999971.072512,365216435.59779,107921295.480188,107845510.097647,107997134.118763,"leukopak"
"253",509999970.493962,372520764.309746,108898266.701999,108821389.81453,108975197.899157,"leukopak"
"254",519999969.915413,379825093.021702,109858801.041464,109780828.543242,109936828.920124,"leukopak"
"255",529999969.336863,387129421.733658,110803414.542787,110724342.091983,110882543.462225,"leukopak"
"256",539999968.758313,394433750.445614,111732557.727692,111652380.708561,111812792.321542,"leukopak"
"257",549999968.179763,401738079.15757,112646695.418547,112565408.902938,112728040.633341,"leukopak"
"258",559999967.601214,409042407.869525,113546336.63411,113463935.342108,113628797.768677,"leukopak"
"259",569999967.022664,416346736.581481,114431899.861422,114348378.121347,114515482.607007,"leukopak"
"260",579999966.444114,423651065.293437,115303744.014182,115219095.721172,115388454.495959,"leukopak"
